SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22024,1610612752,NYK,New York Knicks,0022400061,2024-10-22,NYK @ BOS,L,240,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,2,3,12,12,109,-23,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400081,2024-10-25,NYK vs. IND,W,240,44,84,0.524,12,27,0.444,23,29,0.793,11,32,43,19,5,4,12,18,123,25,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400106,2024-10-28,NYK vs. CLE,L,240,40,90,0.444,9,28,0.321,15,18,0.833,13,30,43,22,8,3,16,21,104,-6,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400122,2024-10-30,NYK @ MIA,W,240,40,82,0.488,18,40,0.45,18,20,0.9,7,35,42,30,8,4,11,16,116,9,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400134,2024-11-01,NYK @ DET,W,240,52,101,0.515,18,38,0.474,6,10,0.6,12,33,45,31,16,3,10,14,128,30,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400161,2024-11-04,NYK @ HOU,L,240,34,88,0.386,11,28,0.393,18,21,0.857,13,26,39,20,6,4,10,18,97,-12,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400171,2024-11-06,NYK @ ATL,L,240,41,84,0.488,22,47,0.468,12,15,0.8,7,34,41,29,5,5,16,18,116,-5,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400189,2024-11-08,NYK vs. MIL,W,240,43,91,0.473,14,46,0.304,16,19,0.842,14,34,48,35,7,3,11,20,116,22,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400203,2024-11-10,NYK @ IND,L,240,46,83,0.554,7,25,0.28,22,27,0.815,8,31,39,23,5,3,14,20,121,-11,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400004,2024-11-12,NYK @ PHI,W,240,44,89,0.494,9,31,0.29,14,15,0.933,8,39,47,31,8,5,15,15,111,12,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400219,2024-11-13,NYK vs. CHI,L,240,48,94,0.511,15,37,0.405,12,18,0.667,10,30,40,31,7,3,15,17,123,-1,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400014,2024-11-15,NYK vs. BKN,W,240,44,83,0.53,13,38,0.342,23,28,0.821,8,37,45,25,7,6,13,21,124,2,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400240,2024-11-17,NYK vs. BKN,W,240,43,88,0.489,13,40,0.325,15,19,0.789,10,37,47,33,4,5,8,23,114,10,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400246,2024-11-18,NYK vs. WAS,W,240,51,91,0.56,20,40,0.5,12,13,0.923,7,34,41,37,4,1,8,12,134,28,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400257,2024-11-20,NYK @ PHX,W,240,50,86,0.581,19,39,0.487,19,21,0.905,10,31,41,30,10,0,15,15,138,16,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400264,2024-11-23,NYK @ UTA,L,240,39,100,0.39,17,51,0.333,11,12,0.917,11,29,40,25,10,10,9,19,106,-15,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400283,2024-11-25,NYK @ DEN,W,240,56,92,0.609,19,36,0.528,14,16,0.875,8,35,43,45,5,4,11,23,145,27,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400292,2024-11-27,NYK @ DAL,L,240,40,86,0.465,7,29,0.241,27,30,0.9,7,26,33,20,9,3,9,19,114,-15,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400040,2024-11-29,NYK @ CHA,W,240,36,81,0.444,12,32,0.375,15,19,0.789,12,32,44,20,7,5,21,19,99,1,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400308,2024-12-01,NYK vs. NOP,W,240,42,92,0.457,20,45,0.444,14,16,0.875,14,46,60,30,10,9,17,14,118,33,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400053,2024-12-03,NYK vs. ORL,W,240,43,85,0.506,15,35,0.429,20,20,1.0,5,34,39,30,6,4,19,25,121,15,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400327,2024-12-05,NYK vs. CHA,W,240,41,76,0.539,18,33,0.545,25,32,0.781,6,37,43,29,7,4,9,13,125,24,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400343,2024-12-07,NYK vs. DET,L,240,42,79,0.532,11,34,0.324,16,27,0.593,4,27,31,27,11,5,15,12,111,-9,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400359,2024-12-09,NYK @ TOR,W,240,42,82,0.512,17,40,0.425,12,19,0.632,6,34,40,32,7,7,10,13,113,5,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022401202,2024-12-11,NYK vs. ATL,L,240,40,93,0.43,11,42,0.262,9,15,0.6,12,37,49,27,8,11,15,14,100,-8,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022401227,2024-12-15,NYK @ ORL,W,240,33,71,0.465,10,24,0.417,24,30,0.8,7,38,45,20,8,3,19,16,100,9,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400367,2024-12-19,NYK @ MIN,W,240,50,97,0.515,20,45,0.444,13,16,0.813,16,41,57,39,10,2,15,12,133,26,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400384,2024-12-21,NYK @ NOP,W,240,38,87,0.437,15,37,0.405,13,15,0.867,15,27,42,24,11,3,17,18,104,11,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400397,2024-12-23,NYK vs. TOR,W,240,51,86,0.593,17,37,0.459,20,29,0.69,8,27,35,34,9,1,17,27,139,14,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400405,2024-12-25,NYK vs. SAS,W,240,45,100,0.45,13,39,0.333,14,16,0.875,17,30,47,26,7,3,5,17,117,3,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400419,2024-12-27,NYK @ ORL,W,240,40,75,0.533,4,15,0.267,24,34,0.706,12,32,44,18,10,3,18,20,108,23,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400429,2024-12-28,NYK @ WAS,W,265,51,97,0.526,10,40,0.25,24,26,0.923,10,33,43,26,7,3,15,14,136,4,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400443,2024-12-30,NYK @ WAS,W,240,45,98,0.459,15,44,0.341,21,25,0.84,15,39,54,34,9,2,8,19,126,20,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400458,2025-01-01,NYK vs. UTA,W,240,47,85,0.553,9,23,0.391,16,23,0.696,6,41,47,31,10,6,13,16,119,16,1,New York Knicks,NYK,2024-25,Regular Season
22024,1610612752,NYK,New York Knicks,0022400473,2025-01-03,NYK @ OKC,L,240,43,90,0.478,9,32,0.281,12,17,0.706,11,31,42,22,7,2,12,17,107,-10,1,New York Knicks,NYK,2024-25,Regular Season
