SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22025,1610612742,DAL,Dallas Mavericks,0022500004,2025-10-22,DAL vs. SAS,L,240,31,83,0.373,9,21,0.429,21,26,0.808,9,28,37,20,5,3,16,24,92,-33,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500096,2025-10-24,DAL vs. WAS,L,240,38,88,0.432,10,34,0.294,21,27,0.778,9,39,48,23,11,5,21,19,107,-10,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500111,2025-10-26,DAL vs. TOR,W,240,50,85,0.588,10,26,0.385,29,39,0.744,12,37,49,32,12,7,20,26,139,10,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500119,2025-10-27,DAL vs. OKC,L,240,33,87,0.379,12,39,0.308,16,22,0.727,6,30,36,20,6,4,9,15,94,-7,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500133,2025-10-29,DAL vs. IND,W,240,36,79,0.456,5,24,0.208,30,37,0.811,7,40,47,21,4,7,19,22,107,2,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500147,2025-11-01,DAL @ DET,L,240,34,80,0.425,16,45,0.356,26,31,0.839,7,36,43,23,3,3,15,25,110,-12,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500160,2025-11-03,DAL @ HOU,L,240,40,89,0.449,9,36,0.25,13,20,0.65,10,30,40,30,12,6,15,25,102,-8,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500177,2025-11-05,DAL vs. NOP,L,240,37,89,0.416,10,32,0.313,15,20,0.75,10,34,44,18,11,7,15,15,99,-2,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500034,2025-11-07,DAL @ MEM,L,240,42,86,0.488,10,39,0.256,10,16,0.625,8,36,44,25,7,6,18,20,104,-14,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500183,2025-11-08,DAL @ WAS,W,240,42,93,0.452,6,24,0.25,21,30,0.7,16,35,51,26,15,6,13,17,111,6,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500203,2025-11-10,DAL vs. MIL,L,240,37,89,0.416,9,39,0.231,31,41,0.756,16,36,52,25,8,8,15,22,114,-2,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500221,2025-11-12,DAL vs. PHX,L,240,43,86,0.5,17,47,0.362,11,17,0.647,8,37,45,32,10,10,21,23,114,-9,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500046,2025-11-14,DAL vs. LAC,L,290,44,99,0.444,10,36,0.278,29,38,0.763,11,39,50,18,11,7,25,25,127,-6,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500238,2025-11-16,DAL vs. POR,W,265,48,95,0.505,15,34,0.441,27,40,0.675,13,34,47,33,7,9,15,22,138,5,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500246,2025-11-17,DAL @ MIN,L,240,34,85,0.4,9,30,0.3,19,31,0.613,10,33,43,13,7,4,20,22,96,-24,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500262,2025-11-19,DAL vs. NYK,L,240,35,85,0.412,16,44,0.364,25,30,0.833,10,40,50,23,6,5,18,26,111,-2,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500052,2025-11-21,DAL vs. NOP,W,240,40,84,0.476,16,43,0.372,22,28,0.786,11,36,47,30,9,9,20,19,118,3,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500273,2025-11-22,DAL vs. MEM,L,240,35,91,0.385,12,36,0.333,14,16,0.875,11,30,41,19,4,9,10,21,96,-6,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500286,2025-11-24,DAL @ MIA,L,240,38,97,0.392,12,40,0.3,14,16,0.875,15,35,50,22,8,5,16,19,102,-4,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500078,2025-11-28,DAL @ LAL,L,240,44,91,0.484,14,32,0.438,17,20,0.85,14,25,39,28,8,4,11,23,119,-10,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500300,2025-11-29,DAL @ LAC,W,240,40,90,0.444,11,39,0.282,23,28,0.821,4,33,37,22,15,2,9,19,114,4,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500315,2025-12-01,DAL @ DEN,W,240,53,95,0.558,16,31,0.516,9,14,0.643,7,36,43,35,4,4,8,19,131,10,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500332,2025-12-03,DAL vs. MIA,W,240,46,91,0.505,16,32,0.5,10,12,0.833,10,40,50,31,6,7,15,15,118,10,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500349,2025-12-05,DAL @ OKC,L,240,41,86,0.477,16,37,0.432,13,20,0.65,9,26,35,28,2,3,12,17,111,-21,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500356,2025-12-06,DAL vs. HOU,W,240,49,82,0.598,7,19,0.368,17,20,0.85,7,24,31,22,13,4,13,14,122,13,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022501214,2025-12-12,DAL vs. BKN,W,240,46,94,0.489,10,30,0.333,17,22,0.773,9,31,40,33,10,8,14,20,119,8,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022501224,2025-12-15,DAL @ UTA,L,265,48,98,0.49,9,27,0.333,28,41,0.683,14,40,54,24,6,6,15,26,133,-7,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500376,2025-12-18,DAL vs. DET,W,265,40,89,0.449,5,27,0.185,31,36,0.861,11,40,51,22,4,15,17,21,116,2,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500387,2025-12-20,DAL @ PHI,L,240,45,83,0.542,3,18,0.167,21,22,0.955,8,36,44,24,5,7,18,22,114,-7,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500404,2025-12-22,DAL @ NOP,L,240,46,104,0.442,10,33,0.303,11,21,0.524,18,39,57,29,9,5,17,19,113,-6,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500415,2025-12-23,DAL vs. DEN,W,240,53,93,0.57,11,27,0.407,14,15,0.933,11,25,36,34,9,2,11,12,131,1,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500011,2025-12-25,DAL @ GSW,L,240,49,89,0.551,4,14,0.286,14,21,0.667,3,38,41,18,5,5,11,16,116,-10,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500432,2025-12-27,DAL @ SAC,L,240,40,87,0.46,13,27,0.481,14,20,0.7,11,40,51,23,6,8,21,11,107,-6,1,Dallas Mavericks,DAL,2025-26,Regular Season
22025,1610612742,DAL,Dallas Mavericks,0022500457,2025-12-29,DAL @ POR,L,240,46,91,0.505,11,32,0.344,19,24,0.792,8,33,41,33,6,7,12,19,122,-3,1,Dallas Mavericks,DAL,2025-26,Regular Season
