SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22025,1610612748,MIA,Miami Heat,0022500081,2025-10-22,MIA @ ORL,L,240,44,91,0.484,12,35,0.343,21,27,0.778,10,37,47,26,9,4,19,28,121,-4,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500094,2025-10-24,MIA @ MEM,W,240,55,102,0.539,19,40,0.475,17,22,0.773,17,40,57,34,15,4,20,25,146,32,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500108,2025-10-26,MIA vs. NYK,W,240,38,83,0.458,13,37,0.351,26,31,0.839,9,41,50,25,7,1,16,16,115,8,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500124,2025-10-28,MIA vs. CHA,W,240,52,96,0.542,20,45,0.444,20,22,0.909,8,29,37,34,8,2,11,16,144,27,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500141,2025-10-30,MIA @ SAS,L,240,39,90,0.433,15,38,0.395,8,11,0.727,5,36,41,29,6,2,14,20,101,-6,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500155,2025-11-02,MIA @ LAL,L,240,43,84,0.512,9,33,0.273,25,36,0.694,9,33,42,29,7,3,15,20,120,-10,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500164,2025-11-03,MIA @ LAC,W,240,45,83,0.542,12,25,0.48,18,24,0.75,6,31,37,33,12,3,16,15,120,1,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500178,2025-11-05,MIA @ DEN,L,240,38,86,0.442,14,41,0.341,22,25,0.88,5,33,38,26,13,4,15,20,112,-10,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500033,2025-11-07,MIA vs. CHA,W,240,51,99,0.515,12,28,0.429,12,14,0.857,6,31,37,31,10,7,8,21,126,18,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500187,2025-11-08,MIA vs. POR,W,240,49,96,0.51,10,35,0.286,28,36,0.778,12,35,47,37,17,5,15,23,136,5,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500201,2025-11-10,MIA vs. CLE,W,265,46,98,0.469,12,36,0.333,36,41,0.878,12,44,56,32,5,6,14,27,140,2,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500217,2025-11-12,MIA vs. CLE,L,240,45,94,0.479,15,37,0.405,11,13,0.846,9,35,44,29,6,6,21,29,116,-14,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500039,2025-11-14,MIA @ NYK,L,240,44,95,0.463,19,44,0.432,25,34,0.735,15,31,46,30,4,5,11,23,132,-8,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500244,2025-11-17,MIA vs. NYK,W,240,45,101,0.446,14,35,0.4,11,13,0.846,7,33,40,29,5,5,14,21,115,2,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500257,2025-11-19,MIA vs. GSW,W,240,39,96,0.406,13,35,0.371,19,26,0.731,14,38,52,30,10,3,14,17,110,14,1,Miami Heat,MIA,2025-26,Regular Season
22025,1610612748,MIA,Miami Heat,0022500051,2025-11-21,MIA @ CHI,W,240,47,100,0.47,14,38,0.368,35,44,0.795,15,38,53,35,13,7,10,22,143,36,1,Miami Heat,MIA,2025-26,Regular Season
