SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_NAME_y,abbreviation,SEASON,SEASON_TYPE
22025,1610612759,SAS,San Antonio Spurs,0022500004,2025-10-22,SAS @ DAL,W,240,50,87,0.575,8,20,0.4,17,28,0.607,11,39,50,24,10,5,15,24,125,33,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500095,2025-10-24,SAS @ NOP,W,265,45,98,0.459,13,43,0.302,17,26,0.654,20,39,59,25,6,13,19,27,120,4,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500105,2025-10-26,SAS vs. BKN,W,240,39,78,0.5,12,27,0.444,28,36,0.778,11,34,45,20,7,6,15,23,118,11,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500118,2025-10-27,SAS vs. TOR,W,240,39,67,0.582,13,27,0.481,30,36,0.833,7,37,44,29,11,3,21,17,121,18,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500141,2025-10-30,SAS vs. MIA,W,240,38,86,0.442,14,41,0.341,17,23,0.739,9,39,48,26,10,8,11,17,107,6,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500154,2025-11-02,SAS @ PHX,L,240,45,98,0.459,10,41,0.244,18,23,0.783,16,25,41,21,11,5,14,21,118,-12,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500179,2025-11-05,SAS @ LAL,L,240,36,74,0.486,13,33,0.394,31,40,0.775,8,29,37,22,7,1,19,36,116,-2,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500032,2025-11-07,SAS vs. HOU,W,240,40,87,0.46,18,45,0.4,23,25,0.92,15,25,40,30,15,4,21,19,121,11,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500188,2025-11-08,SAS vs. NOP,W,240,48,90,0.533,14,40,0.35,16,18,0.889,10,33,43,31,6,6,12,20,126,7,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500202,2025-11-10,SAS @ CHI,W,240,44,86,0.512,10,33,0.303,23,27,0.852,9,38,47,30,10,7,15,17,121,4,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500220,2025-11-12,SAS vs. GSW,L,240,46,94,0.489,14,39,0.359,14,16,0.875,13,36,49,30,5,3,20,24,120,-5,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500047,2025-11-14,SAS vs. GSW,L,240,39,85,0.459,14,38,0.368,16,19,0.842,11,36,47,28,8,6,21,19,108,-1,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500234,2025-11-16,SAS vs. SAC,W,240,47,87,0.54,14,38,0.368,15,18,0.833,9,37,46,38,7,4,15,17,123,13,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500252,2025-11-18,SAS vs. MEM,W,240,42,87,0.483,16,42,0.381,11,13,0.846,4,34,38,23,10,3,9,16,111,10,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500267,2025-11-20,SAS vs. ATL,W,240,48,91,0.527,17,40,0.425,22,30,0.733,10,33,43,34,10,4,11,15,135,9,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500281,2025-11-23,SAS @ PHX,L,240,32,77,0.416,10,34,0.294,28,34,0.824,14,36,50,17,4,4,19,17,102,-9,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500067,2025-11-26,SAS @ POR,W,240,41,101,0.406,11,33,0.333,22,25,0.88,20,37,57,17,12,6,9,22,115,13,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500076,2025-11-28,SAS @ DEN,W,240,46,94,0.489,17,42,0.405,30,32,0.938,12,23,35,30,10,5,9,27,139,3,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500306,2025-11-30,SAS @ MIN,L,240,44,84,0.524,8,33,0.242,16,19,0.842,7,26,33,17,10,1,10,15,112,-13,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500322,2025-12-02,SAS vs. MEM,W,240,42,92,0.457,18,39,0.462,24,31,0.774,11,29,40,28,7,7,7,22,126,7,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500326,2025-12-03,SAS @ ORL,W,240,42,91,0.462,13,38,0.342,17,24,0.708,13,39,52,20,5,5,19,20,114,2,1,San Antonio Spurs,SAS,2025-26,Regular Season
22025,1610612759,SAS,San Antonio Spurs,0022500341,2025-12-05,SAS @ CLE,L,240,42,93,0.452,15,43,0.349,18,26,0.692,11,27,38,28,9,3,14,22,117,-13,1,San Antonio Spurs,SAS,2025-26,Regular Season
